iter	Passed	Remaining
577	1671	1220
578	1673	1216
579	1674	1212
580	1676	1208
581	1677	1204
582	1678	1200
583	1680	1196
584	1681	1193
585	1685	1190
586	1688	1187
587	1689	1184
588	1691	1180
589	1693	1176
590	1695	1173
591	1696	1169
592	1702	1168
593	1704	1164
594	1705	1160
595	1706	1157
596	1708	1153
597	1709	1149
598	1711	1145
599	1712	1141
600	1716	1139
601	1718	1135
602	1719	1132
603	1720	1128
604	1722	1124
605	1723	1120
606	1724	1116
607	1725	1112
608	1727	1109
609	1731	1107
610	1733	1103
611	1734	1099
612	1735	1095
613	1737	1092
614	1738	1088
615	1739	1084
616	1741	1080
617	1742	1077
618	1745	1074
619	1746	1070
620	1748	1067
621	1749	1063
622	1751	1060
623	1753	1056
624	1754	1052
625	1759	1051
626	1761	1048
627	1763	1044
628	1765	1041
629	1770	1039
630	1772	1036
631	1773	1032
632	1775	1029
633	1778	1026
634	1779	1022
635	1780	1019
636	1782	1015
637	1785	1012
638	1786	1009
639	1787	1005
640	1789	1001
641	1790	998
642	1791	994
643	1792	991
644	1794	987
645	1795	984
646	1797	980
647	1800	977
648	1801	974
649	1802	970
650	1804	967
651	1805	963
652	1806	960
653	1808	956
654	1809	953
655	1810	949
656	1812	946
657	1814	943
658	1816	939
659	1817	936
660	1818	932
661	1819	929
662	1821	925
663	1822	922
664	1824	918
665	1825	915
666	1826	911
667	1829	909
668	1830	905
669	1832	902
670	1833	898
671	1835	895
672	1836	892
673	1838	889
674	1839	885
675	1840	882
676	1842	878
677	1844	876
678	1846	872
679	1848	869
680	1850	866
681	1852	863
682	1854	860
683	1856	857
684	1858	854
685	1859	851
686	1861	848
687	1862	844
688	1864	841
689	1865	838
690	1867	834
691	1868	831
692	1869	828
693	1871	825
694	1873	822
695	1875	819
696	1877	815
697	1878	812
698	1879	809
699	1880	806
700	1882	802
701	1883	799
702	1885	796
703	1886	793
704	1889	790
705	1890	787
706	1892	784
707	1894	781
708	1895	778
709	1897	774
710	1898	771
711	1899	768
712	1900	765
713	1904	762
714	1905	759
715	1907	756
716	1908	753
717	1910	750
718	1911	747
719	1912	743
720	1914	740
721	1915	737
722	1916	734
723	1918	731
724	1919	728
725	1921	725
726	1922	722
727	1924	718
728	1925	715
729	1927	712
730	1928	709
731	1929	706
732	1932	704
733	1934	700
734	1935	697
735	1937	694
736	1939	691
737	1940	688
738	1941	685
739	1942	682
740	1944	679
741	1947	677
742	1948	674
743	1950	671
744	1951	667
745	1952	664
746	1954	661
747	1955	658
748	1957	655
749	1958	652
750	1959	649
751	1961	647
752	1963	644
753	1964	640
754	1965	637
755	1967	634
756	1968	631
757	1970	628
758	1971	626
759	1972	623
760	1975	620
761	1977	617
762	1978	614
763	1979	611
764	1981	608
765	1982	605
766	1984	602
767	1985	599
768	1986	596
769	1987	593
770	1990	591
771	1992	588
772	1994	585
773	1996	582
774	1997	580
775	1999	577
776	2001	574
777	2002	571
778	2003	568
779	2005	565
780	2007	562
781	2008	559
782	2009	556
783	2011	554
784	2012	551
785	2013	548
786	2015	545
787	2016	542
788	2018	539
789	2020	537
790	2022	534
791	2023	531
792	2025	528
793	2027	525
794	2028	523
795	2029	520
796	2031	517
797	2033	514
798	2035	511
799	2036	509
800	2038	506
801	2039	503
802	2041	500
803	2042	498
804	2044	495
805	2045	492
806	2046	489
807	2049	486
808	2050	484
809	2052	481
810	2053	478
811	2054	475
812	2056	473
813	2057	470
814	2059	467
815	2060	464
816	2063	462
817	2064	459
818	2066	456
819	2067	453
820	2069	451
821	2070	448
822	2071	445
823	2073	442
824	2074	440
825	2075	437
826	2078	434
827	2079	432
828	2081	429
829	2082	426
830	2083	423
831	2085	421
832	2087	418
833	2088	415
834	2089	412
835	2091	410
836	2094	407
837	2096	405
838	2097	402
839	2099	399
840	2100	397
841	2101	394
842	2103	391
843	2106	389
844	2108	386
845	2109	384
846	2111	381
847	2112	378
848	2114	376
849	2115	373
850	2116	370
851	2118	368
852	2121	365
853	2123	362
854	2124	360
855	2126	357
856	2127	355
857	2129	352
858	2130	349
859	2131	347
860	2133	344
861	2134	341
862	2137	339
863	2138	336
864	2139	333
865	2140	331
866	2142	328
867	2143	325
868	2144	323
